CID,CID number,Coding Scheme Designator,Code Value,Code Meaning,SNOMED-RT ID,SNOMED URL
CID 7 Ultrasound Beam Path,7,SCT,103383005,Trans-esophageal,G-D033,http://snomed.info/id/103383005
CID 7 Ultrasound Beam Path,7,SCT,66739002,Trans-abdominal,G-D001,http://snomed.info/id/66739002
CID 7 Ultrasound Beam Path,7,SCT,54300008,Trans-vaginal,G-D002,http://snomed.info/id/54300008
CID 11 Route of Administration,11,SCT,47625008,Intravenous route,G-D101,http://snomed.info/id/47625008
CID 11 Route of Administration,11,SCT,58100008,Intra-arterial route,G-D102,http://snomed.info/id/58100008
CID 11 Route of Administration,11,SCT,78421000,Intramuscular route,G-D103,http://snomed.info/id/78421000
CID 11 Route of Administration,11,SCT,34206005,Subcutaneous route,G-D104,http://snomed.info/id/34206005
CID 11 Route of Administration,11,SCT,372464004,Intracutaneous route,G-D17D,http://snomed.info/id/372464004
CID 11 Route of Administration,11,SCT,38239002,Intraperitoneal route,G-D106,http://snomed.info/id/38239002
CID 11 Route of Administration,11,SCT,60213007,Intramedullary route,G-D107,http://snomed.info/id/60213007
CID 11 Route of Administration,11,SCT,72607000,Intrathecal route,G-D108,http://snomed.info/id/72607000
CID 11 Route of Administration,11,SCT,12130007,Intra-articular route,G-D109,http://snomed.info/id/12130007
CID 11 Route of Administration,11,NCIt,C38244,Intraepithelial route,,
CID 11 Route of Administration,11,SCT,6064005,Topical route,G-D112,http://snomed.info/id/6064005
CID 11 Route of Administration,11,SCT,26643006,Oral route,G-D140,http://snomed.info/id/26643006
CID 11 Route of Administration,11,NCIt,C38306,Transluminal route,,
CID 11 Route of Administration,11,SCT,37737002,Intraluminal route,G-D144,http://snomed.info/id/37737002
CID 11 Route of Administration,11,NCIt,C38213,Extraluminal route,,
CID 11 Route of Administration,11,SCT,446406008,By inhalation,R-40B32,http://snomed.info/id/446406008
CID 11 Route of Administration,11,SCT,37161004,Per rectum,G-D160,http://snomed.info/id/37161004
CID 11 Route of Administration,11,SCT,16857009,Vaginal route,G-D164,http://snomed.info/id/16857009
CID 11 Route of Administration,11,SCT,372463005,Intracoronary route,G-D17C,http://snomed.info/id/372463005
CID 11 Route of Administration,11,SCT,372460008,Intracardiac route,G-D173,http://snomed.info/id/372460008
CID 11 Route of Administration,11,SCT,420287000,Intraventricular route - cardiac,R-F2C86,http://snomed.info/id/420287000
CID 11 Route of Administration,11,DCM,127070,Retro-orbital route,,
CID 11 Route of Administration,11,SCT,46713006,Nasal route,G-D172,http://snomed.info/id/46713006
CID 11 Route of Administration,11,SCT,372464004,Intradermal route,G-D17D,http://snomed.info/id/372464004
CID 11 Route of Administration,11,SCT,447122006,Intratumor route,R-F2CD4,http://snomed.info/id/447122006
CID 11 Route of Administration,11,SCT,445769006,Intracorpus cavernosum route,R-F2CB6,http://snomed.info/id/445769006
CID 6 Transducer Orientation,6,SCT,81654009,Coronal,G-A138,http://snomed.info/id/81654009
CID 6 Transducer Orientation,6,SCT,38717003,Longitudinal,G-A143,http://snomed.info/id/38717003
CID 6 Transducer Orientation,6,SCT,30730003,Sagittal,G-A145,http://snomed.info/id/30730003
CID 6 Transducer Orientation,6,SCT,103343002,Parasagittal,G-A189,http://snomed.info/id/103343002
CID 6 Transducer Orientation,6,SCT,21114003,Oblique,G-A472,http://snomed.info/id/21114003
CID 6 Transducer Orientation,6,SCT,103339001,Long axis,G-A185,http://snomed.info/id/103339001
CID 6 Transducer Orientation,6,SCT,103341000,Off axis,G-A187,http://snomed.info/id/103341000
CID 6 Transducer Orientation,6,SCT,103340004,Short axis,G-A186,http://snomed.info/id/103340004
CID 6 Transducer Orientation,6,SCT,398994001,Five chamber,G-A191,http://snomed.info/id/398994001
CID 6 Transducer Orientation,6,SCT,399232001,Two chamber,G-A19B,http://snomed.info/id/399232001
CID 6 Transducer Orientation,6,SCT,399214001,Four chamber,G-A19C,http://snomed.info/id/399214001
CID 6 Transducer Orientation,6,SCT,62824007,Transverse,G-A117,http://snomed.info/id/62824007
CID 33 Modality,33,Include CID 29 “Acquisition Modality”,,,,
CID 33 Modality,33,Include CID 32 “Non-Acquisition Modality”,,,,
CID 32 Non-Acquisition Modality,32,DCM,ASMT,Content Assessment Result,,
CID 32 Non-Acquisition Modality,32,DCM,AU,Basic Voice Audio,,
CID 32 Non-Acquisition Modality,32,DCM,CTPROTOCOL,CT Protocol,,
CID 32 Non-Acquisition Modality,32,DCM,DOC,Document,,
CID 32 Non-Acquisition Modality,32,DCM,FID,Spatial Fiducials,,
CID 32 Non-Acquisition Modality,32,DCM,HC,Hard Copy,,
CID 32 Non-Acquisition Modality,32,DCM,IOL,Intraocular Lens Calculation,,
CID 2 Anatomic Modifier,2,SCT,24028007,Right,G-A100,http://snomed.info/id/24028007
CID 32 Non-Acquisition Modality,32,DCM,KO,Key Object Selection,,
CID 32 Non-Acquisition Modality,32,DCM,M3D,Model for 3D Manufacturing,,
CID 32 Non-Acquisition Modality,32,DCM,OT,Other,,
CID 32 Non-Acquisition Modality,32,DCM,PLAN,Plan,,
CID 32 Non-Acquisition Modality,32,DCM,PR,Presentation State,,
CID 2 Anatomic Modifier,2,SCT,7771000,Left,G-A101,http://snomed.info/id/7771000
CID 2 Anatomic Modifier,2,SCT,51440002,Bilateral,G-A102,http://snomed.info/id/51440002
CID 2 Anatomic Modifier,2,SCT,66459002,Unilateral,G-A103,http://snomed.info/id/66459002
CID 2 Anatomic Modifier,2,SCT,49370004,Lateral,G-A104,http://snomed.info/id/49370004
CID 2 Anatomic Modifier,2,DCM,130290,Median,,
CID 32 Non-Acquisition Modality,32,DCM,REG,Registration,,
CID 32 Non-Acquisition Modality,32,DCM,RTDOSE,RT Dose,,
CID 32 Non-Acquisition Modality,32,DCM,RTPLAN,RT Plan,,
CID 32 Non-Acquisition Modality,32,DCM,RTRECORD,RT Treatment Record,,
CID 32 Non-Acquisition Modality,32,DCM,RTSTRUCT,RT Structure Set,,
CID 32 Non-Acquisition Modality,32,DCM,RWV,Real World Value Map,,
CID 32 Non-Acquisition Modality,32,DCM,SEG,Segmentation,,
CID 32 Non-Acquisition Modality,32,DCM,SMR,Stereometric Relationship,,
CID 32 Non-Acquisition Modality,32,DCM,SR,Structured Report Document,,
CID 32 Non-Acquisition Modality,32,DCM,STAIN,Automated Slide Stainer,,
CID 2 Anatomic Modifier,2,SCT,255549009,Anterior,R-404CC,http://snomed.info/id/255549009
CID 2 Anatomic Modifier,2,SCT,255551008,Posterior,R-404CE,http://snomed.info/id/255551008
CID 2 Anatomic Modifier,2,SCT,66787007,Cephalic,G-A107,http://snomed.info/id/66787007
CID 2 Anatomic Modifier,2,SCT,3583002,Caudal,G-A108,http://snomed.info/id/3583002
CID 2 Anatomic Modifier,2,SCT,255561001,Medial,R-404D5,http://snomed.info/id/255561001
CID 2 Anatomic Modifier,2,SCT,26216008,Central,G-A110,http://snomed.info/id/26216008
CID 2 Anatomic Modifier,2,SCT,14414005,Peripheral,G-A111,http://snomed.info/id/14414005
CID 2 Anatomic Modifier,2,SCT,261074009,External,R-40941,http://snomed.info/id/261074009
CID 2 Anatomic Modifier,2,SCT,260521003,Internal,R-40819,http://snomed.info/id/260521003
CID 2 Anatomic Modifier,2,SCT,11896004,Intermediate,G-A114,http://snomed.info/id/11896004
CID 32 Non-Acquisition Modality,32,DCM,TEXTUREMAP,Texture Map,,
CID 2 Anatomic Modifier,2,SCT,261089000,Inferior,R-4094A,http://snomed.info/id/261089000
CID 2 Anatomic Modifier,2,SCT,264217000,Superior,R-42191,http://snomed.info/id/264217000
CID 2 Anatomic Modifier,2,SCT,62824007,Transverse,G-A117,http://snomed.info/id/62824007
CID 2 Anatomic Modifier,2,SCT,40415009,Proximal,G-A118,http://snomed.info/id/40415009
CID 9 Image Guided Therapeutic Procedures,9,SCT,32318003,Vasoconstriction,F-39780,http://snomed.info/id/32318003
CID 2 Anatomic Modifier,2,SCT,46053002,Distal,G-A119,http://snomed.info/id/46053002
CID 2 Anatomic Modifier,2,SCT,60583000,Postaxial,G-A120,http://snomed.info/id/60583000
CID 2 Anatomic Modifier,2,SCT,32400000,Preaxial,G-A121,http://snomed.info/id/32400000
CID 2 Anatomic Modifier,2,SCT,43674008,Apical,G-A122,http://snomed.info/id/43674008
CID 2 Anatomic Modifier,2,SCT,57195005,Basal,G-A123,http://snomed.info/id/57195005
CID 2 Anatomic Modifier,2,SCT,49530007,Afferent,G-A127,http://snomed.info/id/49530007
CID 2 Anatomic Modifier,2,SCT,33843005,Efferent,G-A128,http://snomed.info/id/33843005
CID 2 Anatomic Modifier,2,SCT,81654009,Coronal,G-A138,http://snomed.info/id/81654009
CID 2 Anatomic Modifier,2,SCT,26283006,Superficial,G-A139,http://snomed.info/id/26283006
CID 2 Anatomic Modifier,2,SCT,795002,Deep,G-A140,http://snomed.info/id/795002
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,71647005,^14^Carbon,C-105A2,http://snomed.info/id/71647005
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,77004003,^18^Fluorine,C-111A1,http://snomed.info/id/77004003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,71633006,^22^Sodium,C-155A1,http://snomed.info/id/71633006
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,58541008,^24^Sodium,C-155A2,http://snomed.info/id/58541008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,32505007,^32^Phosphorus,C-106A1,http://snomed.info/id/32505007
CID 9 Image Guided Therapeutic Procedures,9,SCT,30017007,Vasodilatation,F-39800,http://snomed.info/id/30017007
CID 9 Image Guided Therapeutic Procedures,9,SCT,86273004,Biopsy,P1-03100,http://snomed.info/id/86273004
CID 9 Image Guided Therapeutic Procedures,9,SCT,10849003,Removal of foreign body,P1-03176,http://snomed.info/id/10849003
CID 9 Image Guided Therapeutic Procedures,9,SCT,69245005,Intra-arterial infusion of thrombolytic agent,P1-05035,http://snomed.info/id/69245005
CID 9 Image Guided Therapeutic Procedures,9,SCT,8592001,Irrigation following insertion of catheter,P1-05052,http://snomed.info/id/8592001
CID 9 Image Guided Therapeutic Procedures,9,SCT,45211000,Catheterization,P1-05535,http://snomed.info/id/45211000
CID 9 Image Guided Therapeutic Procedures,9,SCT,6832004,Atherectomy,P1-30350,http://snomed.info/id/6832004
CID 9 Image Guided Therapeutic Procedures,9,SCT,65659003,Atherectomy by rotary cutter,P1-30351,http://snomed.info/id/65659003
CID 9 Image Guided Therapeutic Procedures,9,SCT,76611008,Atherectomy by laser,P1-30352,http://snomed.info/id/76611008
CID 9 Image Guided Therapeutic Procedures,9,SCT,57238002,Selective embolization of artery,P1-30530,http://snomed.info/id/57238002
CID 9 Image Guided Therapeutic Procedures,9,SCT,68457009,Percutaneous transluminal balloon angioplasty,P5-31500,http://snomed.info/id/68457009
CID 9 Image Guided Therapeutic Procedures,9,SCT,16736007,Transcatheter therapy for embolization,P5-39010,http://snomed.info/id/16736007
CID 9 Image Guided Therapeutic Procedures,9,SCT,240946003,Percutaneous removal of intravascular foreign body,P0-05AFA,http://snomed.info/id/240946003
CID 9 Image Guided Therapeutic Procedures,9,SCT,103709008,Failed attempted procedure,P1-00018,http://snomed.info/id/103709008
CID 2 Anatomic Modifier,2,SCT,24020000,Horizontal,G-A142,http://snomed.info/id/24020000
CID 2 Anatomic Modifier,2,SCT,38717003,Longitudinal,G-A143,http://snomed.info/id/38717003
CID 2 Anatomic Modifier,2,SCT,33096000,Vertical,G-A144,http://snomed.info/id/33096000
CID 2 Anatomic Modifier,2,SCT,30730003,Sagittal,G-A145,http://snomed.info/id/30730003
CID 2 Anatomic Modifier,2,SCT,24422004,Axial,G-A147,http://snomed.info/id/24422004
CID 2 Anatomic Modifier,2,SCT,87687004,Extra-articular,G-A151,http://snomed.info/id/87687004
CID 2 Anatomic Modifier,2,SCT,410679008,Surface,G-A206,http://snomed.info/id/410679008
CID 2 Anatomic Modifier,2,SCT,68493006,Gutter,G-A169,http://snomed.info/id/68493006
CID 2 Anatomic Modifier,2,SCT,32381004,Hilar,G-A170,http://snomed.info/id/32381004
CID 2 Anatomic Modifier,2,SCT,11070000,Capsular,G-A171,http://snomed.info/id/11070000
CID 2 Anatomic Modifier,2,SCT,61397002,Subcapsular,G-A172,http://snomed.info/id/61397002
CID 2 Anatomic Modifier,2,SCT,57183005,Edge,G-A174,http://snomed.info/id/57183005
CID 2 Anatomic Modifier,2,SCT,37197008,Anterolateral,G-A180,http://snomed.info/id/37197008
CID 2 Anatomic Modifier,2,SCT,90069004,Posterolateral,G-A182,http://snomed.info/id/90069004
CID 2 Anatomic Modifier,2,SCT,131183008,Intra-articular,G-A15A,http://snomed.info/id/131183008
CID 2 Anatomic Modifier,2,SCT,112233002,Marginal,G-A428,http://snomed.info/id/112233002
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,59844004,^42^Potassium,C-135A2,http://snomed.info/id/59844004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,8202008,^43^Potassium,C-135A3,http://snomed.info/id/8202008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,52745005,^51^Chromium,C-129A2,http://snomed.info/id/52745005
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,27054007,^57^Cobalt,C-144A3,http://snomed.info/id/27054007
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,89272005,^58^Cobalt,C-144A4,http://snomed.info/id/89272005
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,68580003,^59^Iron,C-130A3,http://snomed.info/id/68580003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,5405008,^60^Cobalt,C-144A6,http://snomed.info/id/5405008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,3932008,^64^Copper,C-127A2,http://snomed.info/id/3932008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,53700003,^67^Copper,C-127A3,http://snomed.info/id/53700003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,2008008,^67^Gallium,C-131A2,http://snomed.info/id/2008008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,43239002,^75^Selenium,C-116A3,http://snomed.info/id/43239002
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,61716009,^81m^Krypton,C-173A5,http://snomed.info/id/61716009
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,34127007,^85^Krypton,C-173A7,http://snomed.info/id/34127007
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,111084009,^85^Strontium,C-158A3,http://snomed.info/id/111084009
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,78023008,^87m^Strontium,C-158A5,http://snomed.info/id/78023008
CID 31 Abstract Priors,31,SCT,278307001,On admission,R-40553,http://snomed.info/id/278307001
CID 31 Abstract Priors,31,SCT,277671009,Intraoperative,R-400B2,http://snomed.info/id/277671009
CID 31 Abstract Priors,31,SCT,281379000,Pre-admission,R-41FD9,http://snomed.info/id/281379000
CID 31 Abstract Priors,31,SCT,255235001,Pre-dose,R-411C0,http://snomed.info/id/255235001
CID 31 Abstract Priors,31,SCT,255566006,Post-dose,R-404DA,http://snomed.info/id/255566006
CID 31 Abstract Priors,31,SCT,262068006,Pre-operative,R-413C5,http://snomed.info/id/262068006
CID 31 Abstract Priors,31,SCT,262061000,Post-operative,R-413B7,http://snomed.info/id/262061000
CID 31 Abstract Priors,31,DCM,109120,On admission to unit,,
CID 31 Abstract Priors,31,DCM,109121,On discharge,,
CID 31 Abstract Priors,31,DCM,109122,On discharge from unit,,
CID 31 Abstract Priors,31,DCM,109123,Pre-intervention,,
CID 31 Abstract Priors,31,DCM,109124,Post-intervention,,
CID 9 Image Guided Therapeutic Procedures,9,SCT,103716009,Stent placement,P1-05550,http://snomed.info/id/103716009
CID 9 Image Guided Therapeutic Procedures,9,SCT,103712006,Catheter manipulation,P1-05536,http://snomed.info/id/103712006
CID 9 Image Guided Therapeutic Procedures,9,SCT,103713001,Catheter replacement,P1-05537,http://snomed.info/id/103713001
CID 9 Image Guided Therapeutic Procedures,9,SCT,103714007,Occlusion of catheter,P1-05538,http://snomed.info/id/103714007
CID 9 Image Guided Therapeutic Procedures,9,SCT,103715008,Removal of catheter,P1-05539,http://snomed.info/id/103715008
CID 9 Image Guided Therapeutic Procedures,9,SCT,105372003,Transcatheter deployment of detachable balloon,P5-39015,http://snomed.info/id/105372003
CID 9 Image Guided Therapeutic Procedures,9,SCT,105373008,Percutaneous insertion of intravascular filter,P5-39191,http://snomed.info/id/105373008
CID 9 Image Guided Therapeutic Procedures,9,SCT,34536000,Amniocentesis,P1-86100,http://snomed.info/id/34536000
CID 9 Image Guided Therapeutic Procedures,9,SCT,65388005,Ultrasonic guidance for amniocentesis,P5-B8310,http://snomed.info/id/65388005
CID 9 Image Guided Therapeutic Procedures,9,SCT,15415002,Amnioinfusion [injection of amnion],P1-86520,http://snomed.info/id/15415002
CID 9 Image Guided Therapeutic Procedures,9,SCT,6708002,Intrauterine cordocentesis,P1-86180,http://snomed.info/id/6708002
CID 9 Image Guided Therapeutic Procedures,9,SCT,91602002,Thoracentesis,P1-28160,http://snomed.info/id/91602002
CID 9 Image Guided Therapeutic Procedures,9,SCT,65240009,Breech Version [Obstetrical Version],P1-86E70,http://snomed.info/id/65240009
CID 9 Image Guided Therapeutic Procedures,9,SCT,45460008,Intrauterine transfusion,P2-68060,http://snomed.info/id/45460008
CID 9 Image Guided Therapeutic Procedures,9,SCT,133874006,Fetocide (selective reduction),P1-86C50,http://snomed.info/id/133874006
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,7770004,^89^Strontium,C-158A6,http://snomed.info/id/7770004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,14691008,^90^Yttrium,C-162A7,http://snomed.info/id/14691008
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,23788009,^97^Ruthenium,C-180A2,http://snomed.info/id/23788009
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,72454006,^99m^Technetium,C-163A8,http://snomed.info/id/72454006
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,56609000,^111^Indium,C-145A4,http://snomed.info/id/56609000
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,48895003,^113m^Indium,C-145A5,http://snomed.info/id/48895003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,21572004,^123^Iodine,C-114A4,http://snomed.info/id/21572004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,68630002,^125^Iodine,C-114A6,http://snomed.info/id/68630002
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,27081007,^127^Xenon,C-172A5,http://snomed.info/id/27081007
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,1368003,^131^Iodine,C-114B1,http://snomed.info/id/1368003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,3027009,^133^Barium,C-122A5,http://snomed.info/id/3027009
CID 31 Abstract Priors,31,DCM,109125,At last appointment,,
CID 9 Image Guided Therapeutic Procedures,9,SCT,133875007,Prostaglandin injection,P1-93506,http://snomed.info/id/133875007
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,80751004,^133^Xenon,C-172A8,http://snomed.info/id/80751004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,14529005,^153^Gadolinium,C-178A8,http://snomed.info/id/14529005
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,419804008,^153^Samarium,C-B1134,http://snomed.info/id/419804008
CID 18 Isotopes in Radiopharmaceuticals,18,NCIt,C1943,^166^Holmium,,
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,41758004,^169^Ytterbium,C-181A3,http://snomed.info/id/41758004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,447553000,^177^Lutetium,C-101ED,http://snomed.info/id/447553000
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,6301006,^178^Tantalum,C-156A6,http://snomed.info/id/6301006
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,395865006,^186^Rhenium,C-11906,http://snomed.info/id/395865006
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,423578007,^188^Rhenium,C-1018D,http://snomed.info/id/423578007
CID 18 Isotopes in Radiopharmaceuticals,18,DCM,126604,^191m^Iridium,,
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,24301009,^198^Gold,C-146A9,http://snomed.info/id/24301009
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,70544003,^199^Gold,C-146B1,http://snomed.info/id/70544003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,60057003,^201^Thallium,C-138A9,http://snomed.info/id/60057003
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,47588004,^203^Lead,C-132A8,http://snomed.info/id/47588004
CID 18 Isotopes in Radiopharmaceuticals,18,SCT,24853006,^223^Radium,C-136A2,http://snomed.info/id/24853006
CID 12306 Echo Flow Directions,12306,SCT,263677008,Antegrade Direction,R-42047,http://snomed.info/id/263677008
CID 12306 Echo Flow Directions,12306,SCT,312004007,Retrograde Direction,R-42E61,http://snomed.info/id/312004007
CID 12 Radiographic Contrast Agent,12,SCT,15158005,Air,A-80230,http://snomed.info/id/15158005
CID 12 Radiographic Contrast Agent,12,SCT,25419009,Barium Sulfate,C-12217,http://snomed.info/id/25419009
CID 12 Radiographic Contrast Agent,12,SCT,90745007,Bunamiodyl,C-B0315,http://snomed.info/id/90745007
CID 12 Radiographic Contrast Agent,12,SCT,31811003,Carbon dioxide,C-10520,http://snomed.info/id/31811003
CID 12 Radiographic Contrast Agent,12,SCT,62442005,Chloriodized oil,C-B0316,http://snomed.info/id/62442005
CID 12 Radiographic Contrast Agent,12,SCT,7140000,Contrast agent,C-B0300,http://snomed.info/id/7140000
CID 12 Radiographic Contrast Agent,12,SCT,12335007,Diatrizoate,C-B0317,http://snomed.info/id/12335007
CID 12 Radiographic Contrast Agent,12,SCT,407976008,Gadobutrol,C-B0415,http://snomed.info/id/407976008
CID 12 Radiographic Contrast Agent,12,SCT,354088005,Gadodiamide,C-B03C3,http://snomed.info/id/354088005
CID 10 Interventional Drug,10,SCT,419442005,Ethanol,C-21047,http://snomed.info/id/419442005
CID 10 Interventional Drug,10,SCT,6725000,Methylene blue,C-22947,http://snomed.info/id/6725000
CID 30 DICOM Devices,30,Include CID 29 “Acquisition Modality”,,,,
CID 30 DICOM Devices,30,DCM,ARCHIVE,Archive,,
CID 30 DICOM Devices,30,DCM,CAD,Computer Assisted Detection/Diagnosis,,
CID 30 DICOM Devices,30,DCM,CAPTURE,Image Capture,,
CID 30 DICOM Devices,30,DCM,COMP,Computation Server,,
CID 30 DICOM Devices,30,DCM,DSS,Department System Scheduler,,
CID 30 DICOM Devices,30,DCM,FILMD,Film Digitizer,,
CID 30 DICOM Devices,30,DCM,LOG,Procedure Logging,,
CID 30 DICOM Devices,30,DCM,M3D,3D Manufacturing Modeling System,,
CID 30 DICOM Devices,30,DCM,MCD,Media Creation Device,,
CID 30 DICOM Devices,30,DCM,PRINT,Hard Copy Print Server,,
CID 30 DICOM Devices,30,DCM,RT,Radiation Therapy Device,,
CID 12 Radiographic Contrast Agent,12,SCT,58281002,Gadolinium,C-17800,http://snomed.info/id/58281002
CID 12 Radiographic Contrast Agent,12,SCT,109216000,Gadopentetate dimeglumine,C-B0321,http://snomed.info/id/109216000
CID 12 Radiographic Contrast Agent,12,SCT,12801003,Iodamide meglumine,C-B0326,http://snomed.info/id/12801003
CID 12 Radiographic Contrast Agent,12,SCT,73212002,Iodipamide,C-B0318,http://snomed.info/id/73212002
CID 12 Radiographic Contrast Agent,12,SCT,353962003,Iodixanol,C-B03BC,http://snomed.info/id/353962003
