SCT,SRT,SNOMED Fully Specified Name
1346008,C-22921,Blue shade eosin stain (substance)
1368003,C-114B1,^131^Iodine (substance)
1386000,D3-89100,Intracranial hemorrhage (disorder)
1420005,L-80821,German longhaired pointer (organism)
1439000,T-C46A0,Structure of paravesicular lymph node (body structure)
1483009,G-A160,Angular (qualifier value)
1514007,L-80715,Bedlington terrier (organism)
1522000,M-01470,Plaque (morphologic abnormality)
1663004,G-F212,G2 grade (finding)
1710001,F-61470,Uric acid (substance)
1732005,T-C6510,Thoracic duct structure (body structure)
1789009,L-80461,Trakehner horse (organism)
1809004,L-80A40,Rex cat breed (organism)
1849007,T-55255,Structure of pharyngeal recess (body structure)
1896004,D4-48014,Ectopic breast tissue (disorder)
1902009,T-02200,Skin structure of ear (body structure)
1918003,T-42510,Structure of suprarenal aorta (body structure)
1929004,M-95913,"Non-Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
1974006,L-80840,Retriever (organism)
2008008,C-131A2,^67^Gallium (substance)
2048000,T-C5140,Lingual tonsil structure (body structure)
2059009,T-02214,Skin structure of ear lobule (body structure)
2062007,L-80770,Dachshund superbreed of dog (organism)
2088005,C-22898,Page blue G-90 stain (substance)
2092003,M-87203,"Malignant melanoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
2095001,T-22000,Nasal sinus structure (body structure)
2099007,M-91200,"Hemangioma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
2124007,L-80341,Rambouillet sheep (organism)
2159007,C-22831,Azorubin S stain (substance)
2160002,T-42370,Structure of ligamentum arteriosum (body structure)
2272004,S-10154,Half-sister (person)
2282003,A-04830,"Breast prosthesis, device (physical object)"
2309006,C-14600,Gold (substance)
2334006,T-72100,Structure of calyx (body structure)
2400006,T-54410,Structure of mandibular left first premolar tooth (body structure)
2424003,M-88003,"Sarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
2705002,C-115A2,^72^Arsenic (substance)
2739003,T-83400,Endometrial structure (body structure)
2748008,T-A7010,Spinal cord structure (body structure)
2812003,T-12711,Structure of head of femur (body structure)
2841007,T-46600,Structure of renal artery (body structure)
2869004,C-21624,Acetic acid (substance)
2942001,C-B1302,Carbon^14^ D-xylose (substance)
2985005,M-85403,"Paget's disease, mammary (morphologic abnormality)"
3027009,C-122A5,^133^Barium (substance)
3040004,C-B1207,Technetium Tc^99m^ disofenin (substance)
3058005,T-A0140,Peripheral nervous system structure (body structure)
3099004,L-80345,Romney marsh sheep (organism)
3120008,T-29000,Pleural membrane structure (body structure)
3159004,T-46180,Structure of costocervical trunk (body structure)
3216001,L-80146,Lincoln red cattle breed (organism)
3227004,T-43107,Left coronary artery main stem (body structure)
3236000,T-28220,Structure of posterior segment of right upper lobe of lung (body structure)
3243006,T-C4660,Structure of parametrial lymph node (body structure)
3260001,L-80568,Duroc pig (organism)
3325005,F-63390,Lipopolysaccharide (substance)
3347005,L-80778,Dandie Dinmont terrier (organism)
3354004,L-80A15,Havana brown cat (organism)
3361000,C-A6700,Anti-heparin agent (product)
3415004,M-04100,Cyanosis (finding)
3430008,J-06173,Radiation therapist (occupation)
3566006,L-80347,Southdown sheep (organism)
3583002,G-A108,Caudal (qualifier value)
3653002,L-80A08,Balinese cat (organism)
3674001,L-80876,Siberian huskie (organism)
3829006,C-13000,Iron (substance)
3839000,M-83143,Lipid-rich carcinoma (morphologic abnormality)
3916005,T-C4110,Structure of occipital lymph node (body structure)
3921008,L-80707,Airedale terrier (organism)
3924000,T-46210,Structure of pericardiophrenic artery (body structure)
3932008,C-127A2,^64^Copper (substance)
3937002,T-A2594,Structure of entorhinal cortex (body structure)
3954005,T-AA940,Lacrimal sac structure (body structure)
3960005,T-A2920,Olfactory tract structure (body structure)
3995008,L-80A30,Manx (organism)
3997000,L-80450,Pony (organism)
4019005,T-81230,Structure of posterior commissure of labia majora (body structure)
4042003,L-80A57,Somali cat (organism)
4147007,M-03000,Mass (morphologic abnormality)
4258007,T-49620,Structure of posterior tibial vein (body structure)
4317002,T-14050,Structure of spinalis muscle (body structure)
4382004,C-81120,Centrally acting hypotensive agent (product)
4386001,F-20250,Bronchospasm (finding)
4421005,T-E0000,Cell structure (cell structure)
4432005,T-F6845,Structure of ductus arteriosus (body structure)
4525004,P2-10700,Emergency department patient visit (procedure)
4554005,D3-33000,Intraventricular conduction defect (disorder)
4557003,D3-12700,Preinfarction syndrome (disorder)
4563007,P0-10210,"Hospital admission, transfer from other hospital or health care facility (procedure)"
4574003,L-80346,Shropshire sheep (organism)
4578000,T-02812,Skin structure of posterior surface of thigh (body structure)
4596009,T-24100,Laryngeal structure (body structure)
4631006,M-82113,Tubular adenocarcinoma (morphologic abnormality)
4656000,C-22963,Alcian blue 8GX stain (substance)
4658004,T-02305,Skin structure of nuchal region (body structure)
4693006,C-B1012,Chromium^51^ albumin (substance)
4754008,D7-90420,Gynecomastia (disorder)
4832001,C-B1208,Technetium Tc^99m^ mebrofenin (substance)
4942000,T-C4800,Lower limb lymph node structure (body structure)
4958002,T-A3230,Amygdaloid structure (body structure)
4960000,L-80439,Peruvian Paso horse (organism)
5043000,C-22923,Erythrosin Y stain (substance)
5076001,T-D3213,Structure of infrasternal angle (body structure)
5140004,T-54230,Structure of maxillary right first molar tooth (body structure)
5164003,L-80333,Montdale sheep (organism)
5227002,L-80643,Oxford sandy block pig (organism)
5244003,M-85030,Intraductal papilloma (morphologic abnormality)
5272005,T-02304,Skin structure of lateral portion of neck (body structure)
5296000,T-C4361,Structure of anterior mediastinal lymph node (body structure)
5306005,L-80800,Manchester terrier superbreed (organism)
5366008,T-A2570,Hippocampal structure (body structure)
5394000,T-C4690,Structure of uterine paracervical lymph node (body structure)
5405008,C-144A6,^60^Cobalt (substance)
5438004,L-80206,French alpine goat (organism)
5442001,C-22901,Page blue 83 stain (substance)
5467003,F-21301,Normal respiratory rhythm (finding)
5540006,C-14300,Calcium (substance)
5665001,T-AA610,Retinal structure (body structure)
5692007,C-B1022,Cyanocobalamin Co^58^ (substance)
5712003,G-A530,Sessile (qualifier value)
5713008,T-D1603,Submandibular triangle structure (body structure)
5727003,T-C4240,Structure of anterior cervical lymph node (body structure)
5798000,T-D3400,Diaphragm structure (body structure)
5884001,P1-48350,Mastectomy (procedure)
5916008,L-80777,Dalmatian dog (organism)
5928000,T-48420,Great cardiac vein structure (body structure)
5931004,C-B1222,Technetium Tc^99m^ sulfur colloid (substance)
6041008,G-A485,Flat (qualifier value)
6053007,L-80563,Dekalb hybrid pig line 33 (organism)
6062009,T-54730,Structure of deciduous mandibular right canine tooth (body structure)
6064005,G-D112,Topical route (qualifier value)
6103004,L-807C8,Jack Russell terrier dog breed (organism)
6112002,L-80151,Meusse-Rhine-Ijssel cattle breed (organism)
6217003,T-55320,Structure of piriform recess (body structure)
6220006,L-80422,Galiceno horse (organism)
6229007,T-1115A,Lacrimal bone structure (body structure)
6257000,C-B1176,Sodium chloride Na^22^ (substance)
6301006,C-156A6,^178^Tantalum (substance)
6413002,T-C4680,Structure of presymphysial lymph node (body structure)
6423006,T-13610,Supraspinatus muscle structure (body structure)
6425004,C-51000,Antihistamine (product)
6431001,L-80325,Leicester sheep (organism)
6456007,D3-31290,Supraventricular tachycardia (disorder)
6511003,T-43122,Structure of distal portion of circumflex branch of left coronary artery (body structure)
6516008,C-B1065,Indium^111^-Fe(OH)>3< (substance)
6530003,T-35002,Structure of cardiac valve leaflet (body structure)
6533001,T-59345,Structure of colonic haustra (body structure)
6538005,T-46130,Structure of thyrocervical trunk (body structure)
6574001,M-54000,Necrosis (morphologic abnormality)
6660000,M-72175,Atypical intraductal hyperplasia (morphologic abnormality)
6701008,C-22841,Lissamine fast red B stain (substance)
6703006,D7-90428,Breast lobule hyperplasia (disorder)
6706003,G-D028,Transrectal approach (qualifier value)
6708002,P1-86180,Intrauterine cordocentesis (procedure)
6725000,C-22947,Methylene blue stain (substance)
6736007,G-A002,Moderate (severity modifier) (qualifier value)
6797001,F-31150,Mean blood pressure (observable entity)
6832004,P1-30350,Atherectomy (procedure)
6866008,T-A4950,Structure of habenular commissure (body structure)
6871001,T-39010,Structure of visceral pericardium (body structure)
6973004,C-B1013,Chromium^51^ chloride (substance)
7087005,G-A397,Intermittent (qualifier value)
7121006,T-54220,Structure of maxillary right second molar tooth (body structure)
7140000,C-B0300,Radiographic contrast media (product)
7281000,C-B1209,Technetium Tc^99m^ lidofenin (substance)
7292004,C-B0156,Indocyanine green (product)
7305005,D4-32014,Coarctation of aorta (disorder)
7434003,C-22924,Erythrosin B stain (substance)
7562007,P5-D6000,Radioisotope study of endocrine system (procedure)
7569003,T-D8800,Finger structure (body structure)
7623008,L-80409,American paint horse (organism)
7657000,T-47400,Structure of femoral artery (body structure)
7770004,C-158A6,^89^Strontium (substance)
7771000,G-A101,Left (qualifier value)
7832008,T-42500,Abdominal aorta structure (body structure)
7843000,L-80141,Horned Hereford (organism)
7844006,T-15610,Sternoclavicular joint structure (body structure)
7991003,T-02531,Skin structure of glans penis (body structure)
8001006,T-53010,Structure of mucous membrane of tongue (body structure)
8012006,T-45530,Structure of anterior communicating artery (body structure)
8017000,T-32540,Structure of inflow tract of right ventricle (body structure)
8089006,L-80463,Welsh walking horse (organism)
8128003,T-42110,Supraaortic valve area structure (body structure)
8202008,C-135A3,^43^Potassium (substance)
8205005,T-D8600,Wrist region structure (body structure)
8225009,T-32850,Accessory atrioventricular bundle (body structure)
8227001,C-180A5,^106^Ruthenium (substance)
8334002,T-C4490,Structure of lumbar lymph node (body structure)
8342001,C-22934,Brilliant cresyl blue stain (substance)
8348002,C-97520,Cyclopentolate (product)
8351009,L-807A1,Smooth fox terrier (organism)
8356004,T-C4560,Structure of colic lymph node (body structure)
8359006,G-D231,Automated (qualifier value)
8360001,M-89400,Pleomorphic adenoma (morphologic abnormality)
8361002,T-1A170,Tunica intima (body structure)
8419007,L-80A20,Domestic longhaired cat (organism)
8429000,C-22865,Brilliant orange stain (substance)
8516002,L-80564,Dekalb hybrid pig line 51 (organism)
8517006,S-32070,Ex-smoker (finding)
8568009,T-C4400,Abdominal lymph node structure (body structure)
8592001,P1-05052,Irrigation following insertion of catheter (procedure)
8598002,T-A8500,Vestibulocochlear nerve structure (body structure)
8629005,T-48510,Structure of superior right pulmonary vein (body structure)
8715000,P0-10010,"Hospital admission, elective (procedure)"
8722008,D3-29020,Aortic valve disorder (disorder)
8763002,L-80606,German landrace pig (organism)
8821006,T-47630,Structure of peroneal artery (body structure)
8836009,C-22935,Gallocyanine stain (substance)
8858006,C-B1182,Strontium nitrate Sr^85^ (substance)
8873007,T-54490,Structure of mandibular right second premolar tooth (body structure)
8887007,T-48620,Structure of brachiocephalic vein (body structure)
8926000,C-22946,Azure B stain (substance)
8928004,T-C4810,Inguinal lymph node structure (body structure)
8931003,T-12282,Structure of coracoid process of scapula (body structure)
8970009,L-80605,French landrace pig (organism)
8989009,L-80106,Ayrshire cattle breed (organism)
8993003,T-48720,Structure of hepatic vein (body structure)
8997002,F-32040,"Ventricular systole, function (observable entity)"
9010006,C-22907,Methyl blue stain (substance)
9040008,T-59420,Ascending colon structure (body structure)
9131007,L-80801,Standard Manchester terrier (organism)
9135003,L-80642,OIC pig (organism)
9190005,C-97580,Tropicamide (product)
9230001,L-80209,Camarron goat (organism)
9265001,P3-05000,Specimen processing (procedure)
9277006,L-80142,Polled Hereford (organism)
9351000,C-160A3,^103^Palladium (substance)
9454009,T-48330,Structure of subclavian vein (body structure)
9528004,L-80843,Flat-coated retriever (organism)
9642004,T-48611,Left superior vena cava (body structure)
9659009,T-C4280,Infraclavicular lymph node (body structure)
9713002,D7-51010,Prostatitis (disorder)
9721008,C-6A180,Phencyclidine (substance)
9726003,G-A214,Equal (qualifier value)
9761009,L-80740,Chihuahua superbreed (organism)
9775002,T-45190,Structure of left carotid sinus (body structure)
9875009,T-C8000,Thymus gland structure (body structure)
9904008,D4-30000,Congenital anomaly of cardiovascular system (disorder)
9947008,S-10131,Natural father (person)
9964006,F-10110,"Flexion, function (observable entity)"
10040000,L-80824,Pomeranian dog (organism)
10119003,T-47340,Structure of deep volar arch of radial artery (body structure)
10136006,L-80A56,Singapura cat (organism)
10200004,T-62000,Liver structure (body structure)
10209003,T-C4140,Structure of parotid lymph node (body structure)
10247008,C-22806,Chrysoidine R stain (substance)
10249006,C-84085,Agar (substance)
10261003,L-80601,Belgium landrace pig (organism)
10293006,T-46700,Structure of iliac artery (body structure)
10337008,F-32400,Incompetence of any valvular structure (finding)
10369004,L-80729,Briard dog (organism)
10376009,M-80502,Papillary carcinoma in situ (morphologic abnormality)
10517005,T-A3800,External capsule of brain (body structure)
10544000,L-80754,Smooth collie (organism)
10626002,D3-31744,Multifocal premature ventricular complexes (disorder)
10639003,M-97313,Solitary plasmacytoma of bone (morphologic abnormality)
10701001,L-80A17,Javanese cat (organism)
10712001,C-A2010,Glucagon product (product)
10738001,C-162A3,^86^Yttrium (substance)
10740006,C-22958,Sudan blue stain (substance)
10781003,C-B1142,Sodium phosphate P^32^ (substance)
10828004,G-A200,Positive (qualifier value)
10842007,L-807C4,Ibizan hound (organism)
10849003,P1-03176,Removal of foreign body (procedure)
10904000,F-10320,Orthostatic body position (finding)
10944007,F-64460,Taurine (substance)
11000004,T-A3200,Caudate nucleus structure (body structure)
11069001,C-22944,Azure C stain (substance)
11070000,G-A171,Capsular (qualifier value)
11089000,T-A6620,Structure of superior cerebellar peduncle (body structure)
11136004,C-6A16A,Methoxyflurane (substance)
11157007,F-33750,Ventricular bigeminy (disorder)
11161001,L-80567,Dekalb hybrid pig line 77 (organism)
11201005,C-22821,Solochrome black 6B stain (substance)
11279006,T-45520,Structure of circle of Willis (body structure)
11477006,L-80873,Irish setter (organism)
11496005,C-13321,Mercuric chloride (substance)
11554009,F-10130,"Adduction, function (observable entity)"
11584001,T-02302,Skin structure of anterior portion of neck (body structure)
11628009,T-A0103,Structure of telencephalon (body structure)
11645004,C-22906,Spirit soluble aniline blue stain (substance)
11671000,M-82003,Adenoid cystic carcinoma (morphologic abnormality)
11708003,T-D4240,Hypogastric region structure (body structure)
11712009,T-54270,Structure of maxillary right lateral incisor tooth (body structure)
11713004,C-10120,Water (substance)
11723008,G-4022,Contact with (contextual qualifier) (qualifier value)
11727009,C-22927,Indophenol from naphthol stain (substance)
11740004,T-C46A1,Structure of prevesicular lymph node (body structure)
11746005,L-80711,Australian cattle dog (organism)
11780008,C-22871,Durazol red stain (substance)
11851006,D3-29010,Mitral valve disorder (disorder)
11896004,G-A114,Intermediate (qualifier value)
11899006,T-C4365,Structure of esophageal lymph node (body structure)
11967001,L-80324,Kerry Hill sheep (organism)
11993008,S-101AA,Male first cousin (person)
12001002,C-22943,Thionine stain (substance)
12030009,C-22807,Sudan II stain (substance)
12052000,T-46980,Structure of ovarian artery (body structure)
12091005,L-80882,Brittany spaniel (organism)
12119009,C-22933,Water soluble nigrosine stain (substance)
12123001,T-48170,Internal jugular vein structure (body structure)
12130007,G-D109,Intra-articular route (qualifier value)
12131006,L-80805,Miniature pinscher dog (organism)
12169001,M-95800,Granular cell tumor (morphologic abnormality)
12196003,T-C4760,Structure of subscapular axillary lymph node (body structure)
12335007,C-B0317,Diatrizoate (product)
12360007,L-80430,Missouri fox trotting horse (organism)
12390000,L-80731,American pit bull terrier (organism)
12402003,M-78060,Scar (morphologic abnormality)
12407009,L-80609,Swedish landrace pig (organism)
12503006,C-12000,Aluminum (substance)
12597001,C-13900,Tin (substance)
12611008,T-12740,Bone structure of tibia (body structure)
12691009,T-46010,Structure of brachiocephalic artery (body structure)
12710003,C-22968,Hematoxylin stain (substance)
12728001,T-C4852,Structure of superficial popliteal lymph node (body structure)
12738006,T-A0100,Brain structure (body structure)
12745006,P1-14020,Operative procedure on pelvis (procedure)
12800002,T-43212,Structure of atrioventricular node branch of right coronary artery (body structure)
12801003,C-B0326,Iodamide meglumine (substance)
12852001,F-10210,"Internal rotation, function (observable entity)"
12872006,T-11301,Head of rib structure (body structure)
12881000,T-1242A,Bone structure of proximal radius (body structure)
12921003,T-D6000,Pelvic structure (body structure)
12958003,T-A7020,Spinal cord gray matter structure (body structure)
13024002,T-17010,Tendon structure (body structure)
13050003,T-32840,Structure of purkinje fibers (body structure)
13091001,P1-03151,Dilation and curettage (procedure)
13132007,C-A7220,Dextran (product)
13190002,T-D8640,Fetlock region of forelimb (body structure)
13213009,D4-31000,Congenital heart disease (disorder)
13237009,C-142A5,^131^Cesium (substance)
13248002,L-80841,Chesapeake Bay retriever (organism)
13284009,L-80915,Yorkshire terrier (organism)
13331008,M-58000,Atrophy (morphologic abnormality)
13363002,T-47600,Structure of posterior tibial artery (body structure)
13383001,T-32004,Structure of apex of heart (body structure)
13418002,T-32650,Structure of outflow tract of left ventricle (body structure)
13482005,T-C4100,Structure of lymph node of head (body structure)
13487004,L-80455,Shire horse (organism)
13544004,L-80131,Belted Galloway cattle breed (organism)
13561001,T-AA910,Lacrimal gland structure (body structure)
13576009,T-F1820,Fetal umbilical vein structure (body structure)
13647002,T-43200,Right coronary artery structure (body structure)
13648007,T-75000,Urethral structure (body structure)
13652007,C-22301,Silicone (substance)
13653002,L-D9814,Cestrum parqui (organism)
13662000,P1-36957,Anastomosis of pulmonary-subclavian artery by Blalock-Taussig operation (procedure)
13744001,C-22808,Methyl red stain (substance)
13791008,F-01380,Asthenia (finding)
13881006,T-11166,Zygomatic bone structure (body structure)
13931001,C-15211,Osmium tetroxide (substance)
13934009,L-80339,Panama sheep (organism)
13942005,L-80802,Toy Manchester terrier (organism)
13958008,T-A2860,Structure of superior fronto-occipital fasciculus (body structure)
14016003,T-C1000,Bone marrow structure (body structure)
14063001,L-80579,FHC elite pig 9 (organism)
14071002,C-158A7,^90^Strontium (substance)
14106009,A-11100,"Cardiac pacemaker, device (physical object)"
14156004,M-32410,Racemose aneurysm (morphologic abnormality)
14205002,F-10346,Lithotomy position (finding)
14245006,L-80848,Rottweiler dog (organism)
14350002,M-76100,Angiomatosis (morphologic abnormality)
14414005,G-A111,Peripheral (qualifier value)
14443002,C-52500,Aminoglycoside -class of antibiotic- (substance)
14502000,F-10226,"Supination, function (observable entity)"
14510004,T-11307,Structure of angle of rib (body structure)
14529005,C-178A8,^153^Gadolinium (substance)
14537002,M-96503,"Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
14544006,C-22894,Methyl violet 6B stain (substance)
14691008,C-162A7,^90^Yttrium (substance)
14738005,T-A3500,Globus pallidus structure (body structure)
14742008,T-59000,Large intestinal structure (body structure)
14766002,P1-03130,Aspiration (procedure)
14770005,T-54770,Structure of deciduous mandibular left lateral incisor tooth (body structure)
14799000,M-80006,"Neoplasm, metastatic (morphologic abnormality)"
14804005,F-61380,Creatine (substance)
14806007,T-11610,Bone structure of atlas (body structure)
14876008,L-80815,Pharaoh hound (organism)
14892003,T-A7091,Lateral funiculus structure (body structure)
14910006,F-20010,Inspiration (observable entity)
14944004,T-F7001,Primitive aortic structure (body structure)
14958002,C-22801,Naphthol green B stain (substance)
14975008,T-D8500,Forearm structure (body structure)
14990007,M-92203,"Chondrosarcoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
15020009,L-80A52,Domestic shorthaired cat (organism)
15119000,T-A8780,Accessory nerve structure (body structure)
15158005,A-80230,Air (substance)
15171008,L-80830,Poodle superbreed (organism)
15415002,P1-86520,Injection of amnion (procedure)
15422005,T-54450,Structure of mandibular right central incisor tooth (body structure)
15425007,T-D4400,Peritoneum (serous membrane) structure (body structure)
15443006,L-80663,Yuca pig (organism)
15454001,M-02520,Increased size (finding)
15497006,T-87000,Ovarian structure (body structure)
15508007,G-4043,High risk of (contextual qualifier) (qualifier value)
15529003,C-22908,Rosolic acid sodium salt stain (substance)
15665001,T-14172,Structure of latissimus dorsi muscle (body structure)
15672000,T-45270,Structure of superficial temporal artery (body structure)
15690004,M-31790,Tortuosity (morphologic abnormality)
15698006,C-63A10,Lysergic acid diethylamide (substance)
15763003,T-46668,Structure of perforating artery of kidney (body structure)
15775008,T-AA220,Structure of corneal epithelium (body structure)
15776009,T-65000,Pancreatic structure (body structure)
15825003,T-42000,Aortic structure (body structure)
15869005,A-2C090,"Dosimeter, device (physical object)"
15896008,C-22892,Methyl violet 2B stain (substance)
15924003,T-22100,Maxillary sinus structure (body structure)
15961007,L-80541,British saddleback pig (organism)
15966002,L-80742,Short coat chihuahua (organism)
16015002,L-80212,Anglo nubian goat (organism)
16050005,T-C4470,Structure of pancreaticosplenic lymph node (body structure)
16051009,T-C4740,Structure of apical axillary lymph node (body structure)
16228004,T-C46A4,Structure of paravaginal lymph node (body structure)
16239001,T-32637,Structure of myocardium of inferolateral region (body structure)
16251004,T-02151,Skin structure of upper lip (body structure)
16310003,P5-B0000,Diagnostic ultrasonography (procedure)
16349000,A-12000,Orthopedic device (physical object)
16356006,D8-20100,Multiple pregnancy (disorder)
16528000,L-80A10,Bombay cat (organism)
16567006,D4-31B24,Mesocardia (disorder)
16621002,T-02111,Skin structure of temporal region (body structure)
16630005,T-A2300,Parietal lobe structure (body structure)
16736007,P5-39010,Transcatheter therapy for embolization (procedure)
16788000,C-22846,Naphthalene black 12B stain (substance)
16811007,T-51305,Buccal mucosa (body structure)
16836001,C-22945,Azure A stain (substance)
16838000,D2-81180,Mediastinal emphysema (disorder)
16857009,G-D164,Vaginal route (qualifier value)
16932000,F-52840,Nausea and vomiting (disorder)
16943008,C-22805,Chrysoidine Y stain (substance)
16953009,T-15430,Elbow joint structure (body structure)
16973004,F-18010,Limping (finding)
16982005,T-D2220,Shoulder region structure (body structure)
17069007,C-B1140,Chromic phosphate P^32^ (substance)
17137000,T-47160,Structure of brachial artery (body structure)
17172002,C-22918,Dibromofluorescein stain (substance)
17232002,T-45600,Structure of middle cerebral artery (body structure)
17338001,D3-31740,Ventricular premature beats (disorder)
17366009,D3-31500,Atrial arrhythmia (disorder)
17388009,T-45730,Structure of anterior spinal artery (body structure)
17399006,T-11308,Structure of costal groove (body structure)
17505006,T-54640,Structure of deciduous maxillary right first molar tooth (body structure)
17589002,G-A265,Non-calcified (qualifier value)
17600005,C-B1000,Diagnostic radioisotope (product)
17621005,G-A460,Normal (qualifier value)
17623008,T-49330,Structure of ulnar vein (body structure)
17636008,P3-02000,Specimen collection (procedure)
17663009,L-80898,Tibetan terrier (organism)
17693003,C-22A07,Acriflavine stain (substance)
17717005,L-80651,Pic Cambourgh pig (organism)
17861009,T-C5000,Waldeyer's ring structure (body structure)
17910003,C-113A1,^75^Bromine (substance)
17941002,M-52200,Arteriolosclerosis (morphologic abnormality)
17945006,S-10115,Natural grandmother (person)
17957002,T-02621,Skin structure of antecubital fossa (body structure)
18016009,M-52500,Phlebosclerosis (morphologic abnormality)
18102001,P5-40060,Mammary ductogram (procedure)
18112008,T-46422,Structure of hepatic artery proper (body structure)
18115005,M-55420,"Pathologic calcification, calcified structure (morphologic abnormality)"
18149002,T-11B00,Coccygeal vertebra structure (body structure)
18212001,L-80524,Boar power pig 72 (organism)
18220004,F-B3000,Thyroid hormone (substance)
18234004,T-A8040,Optic nerve structure (body structure)
18346003,T-14140,Structure of serratus anterior muscle (body structure)
18444004,T-52110,Structure of mucous membrane of upper lip (body structure)
18457007,T-C3070,Structure of hemolymph node (body structure)
18525008,T-D9550,Pastern region of hindfoot (body structure)
18545000,T-A1120,Dura mater structure (body structure)
18546004,D4-31810,Congenital stenosis of aortic valve (disorder)
18590009,P2-35000,Cardiac pacing (procedure)
18619003,T-AA110,Scleral structure (body structure)
18686000,T-14120,Pectoralis minor muscle structure (body structure)
18857001,T-82006,Vaginal introitus structure (body structure)
18911002,T-91000,Penile structure (body structure)
18946005,P1-C0220,Epidural anesthesia (procedure)
18962004,T-23050,Structure of nasopharyngeal cavity (body structure)
19041007,C-815E1,Tolazoline hydrochloride (substance)
19078005,L-80750,Collie (organism)
19086005,P5-D2000,Radioisotope study of respiratory system (procedure)
19100000,T-04003,Structure of lower inner quadrant of breast (body structure)
19130008,M-10000,Traumatic abnormality (morphologic abnormality)
19227008,M-30400,Foreign body (morphologic abnormality)
19242006,D2-61100,Pulmonary edema (disorder)
19346006,D6-90800,Marfan's syndrome (disorder)
19356005,L-80427,Hunter horse (organism)
19443004,A-04034,"Radioactive implant, device (physical object)"
19495007,C-B1206,Sodium pertechnetate Tc^99m^ (substance)
19648000,G-A321,Diffuse (qualifier value)
19665009,M-82110,"Tubular adenoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)"
19695001,T-D4210,Hypochondriac region structure (body structure)
19715009,T-49230,Structure of basilic vein (body structure)
19770007,L-80581,Hereford pig (organism)
19776001,M-02530,Decreased size (finding)
19829001,D2-50000,Disorder of lung (disorder)
19893005,C-13518,Potassium dichromate (substance)
19897006,M-95403,Malignant peripheral nerve sheath tumor (morphologic abnormality)
19923001,A-26800,"Catheter, device (physical object)"
19928005,M-78800,Fibromatosis (morphologic abnormality)
19939008,G-A561,Subacute (qualifier value)
19952003,M-52240,Elastic vascular sclerosis (morphologic abnormality)
20044005,L-80654,Pietrain pig (organism)
20115005,T-49350,Structure of brachial vein (body structure)
20230008,C-22858,Vital new red stain (substance)
20233005,T-98000,Scrotal structure (body structure)
20262006,F-A4580,Ataxia (finding)
20280002,L-80580,Hampshire pig (organism)
20292002,T-15311,Atlantooccipital joint structure (body structure)
20298003,T-11227,Structure of xiphoid process of sternum (body structure)
20446002,M-02260,Wedge shape (qualifier value)
20699002,T-49240,Structure of cephalic vein (body structure)
20717008,M-52120,Atherosclerotic fibrous plaque (morphologic abnormality)
20721001,D3-29040,Tricuspid valve disorder (disorder)
